Date,Sub_name,Fdr_name,Time off,Time on,Delay hrs.,Line_section,new
2017-04-17 00:00:00,Fullerton,Kaluthara North,9:45 h,10:19 h,0.57,Section 1,overwritten
2017-04-17 00:00:00,Fullerton,Kaluthara North,10:19 h,10:44 h,0.42,Section 1,overwritten
2017-04-18 00:00:00,Fullerton,Kaluthara North,15:24 h,15:34 h,0.17,Section 2,overwritten
2017-04-18 00:00:00,Fullerton,Kaluthara North,23:30 h,23:52 h,0.37,Section 2,overwritten
2017-04-22 00:00:00,Fullerton,Kaluthara North,4:55 h,5:00 h,0.08,Section 1,overwritten
2017-04-22 00:00:00,Fullerton,Kaluthara North,7:26 h,7:55 h,0.48,Section 2,overwritten
2017-04-26 00:00:00,Fullerton,Kaluthara North,3:20 h,3:30 h,0.17,Section 1,overwritten
2017-04-26 00:00:00,Fullerton,Kaluthara North,9:31 h,9:35 h,0.07,Section 1 & 2,overwritten
2017-04-30 00:00:00,Fullerton,Kaluthara North,12:54 h,13:29 h,0.58,Section 1,overwritten
2017-05-01 00:00:00,Fullerton,Kaluthara North,9:20 h,9:31 h,0.18,Section 1,overwritten
2017-05-02 00:00:00,Fullerton,Kaluthara North,2:16 h,2:28 h,0.2,Section 2,overwritten
2017-05-02 00:00:00,Fullerton,Kaluthara North,7:42 h,8:18 h,0.6,Section 1,overwritten
2017-05-03 00:00:00,Fullerton,Kaluthara North,7:47 h,9:30 h,1.72,Section 1,overwritten
2017-05-03 00:00:00,Fullerton,Kaluthara North,11:00 h,11:04 h,0.07,Section 1,overwritten
2017-05-03 00:00:00,Fullerton,Kaluthara North,11:20 h,11:22 h,0.03,Section 2,overwritten
2017-05-03 00:00:00,Fullerton,Kaluthara North,14:15 h,15:00 h,0.75,Section 1 & 2,overwritten
2017-05-03 00:00:00,Fullerton,Kaluthara North,15:00 h,15:33 h,0.55,Section 2,overwritten
2017-05-03 00:00:00,Fullerton,Kaluthara North,16:50 h,17:03 h,0.22,Section 1,overwritten
2017-05-04 00:00:00,Fullerton,Kaluthara North,10:35 h,11:10 h,0.58,Section 1,overwritten
2017-05-04 00:00:00,Fullerton,Kaluthara North,14:42 h,15:25 h,0.72,Section 1,overwritten
2017-05-06 00:00:00,Fullerton,Kaluthara North,14:12 h,14:15 h,0.05,Section 1,overwritten
2017-05-12 00:00:00,Fullerton,Kaluthara North,9:16 h,9:20 h,0.07,Section 2,overwritten
2017-05-13 00:00:00,Fullerton,Kaluthara North,11:13 h,11:54 h,0.68,Section 1,overwritten
2017-05-13 00:00:00,Fullerton,Kaluthara North,11:54 h,11:58 h,0.07,Section 1,overwritten
2017-05-16 00:00:00,Fullerton,Kaluthara North,5:05 h,6:05 h,1,Section 1,overwritten
2017-05-16 00:00:00,Fullerton,Kaluthara North,8:20 h,9:33 h,1.22,Section 1,overwritten
2017-05-17 00:00:00,Fullerton,Kaluthara North,14:11 h,14:34 h,0.38,Section 2,overwritten
2017-05-18 00:00:00,Fullerton,Kaluthara North,7:35 h,7:45 h,0.17,Section 1,overwritten
2017-05-20 00:00:00,Fullerton,Kaluthara North,1:07 h,1:56 h,0.82,Section 1,overwritten
2017-05-21 00:00:00,Fullerton,Kaluthara North,6:49 h,7:08 h,0.32,Section 1,overwritten
2017-05-22 00:00:00,Fullerton,Kaluthara North,17:01 h,17:33 h,0.53,Section 1,overwritten
2017-05-28 00:00:00,Fullerton,Kaluthara North,17:00 h,17:22 h,0.37,Section 1,overwritten
2017-06-01 00:00:00,Fullerton,Kaluthara North,7:45 h,7:56 h,0.18,Section 1,overwritten
2017-06-05 00:00:00,Fullerton,Kaluthara North,17:09 h,17:13 h,0.07,Section 2,overwritten
2017-06-10 00:00:00,Fullerton,Kaluthara North,6:25 h,6:29 h,0.07,Section 2,overwritten
2017-06-11 00:00:00,Fullerton,Kaluthara North,6:57 h,7:05 h,0.13,Section 1,overwritten
2017-06-14 00:00:00,Fullerton,Kaluthara North,9:20 h,9:28 h,0.13,Section 1,overwritten
2017-06-15 00:00:00,Fullerton,Kaluthara North,21:30 h,22:05 h,0.58,Section 1,overwritten
2017-06-19 00:00:00,Fullerton,Kaluthara North,0:28 h,0:30 h,0.03,Section 1,overwritten
2017-06-19 00:00:00,Fullerton,Kaluthara North,1:34 h,1:46 h,0.2,Section 1,overwritten
2017-06-20 00:00:00,Fullerton,Kaluthara North,10:01 h,10:08 h,0.12,Section 2,overwritten
2017-06-23 00:00:00,Fullerton,Kaluthara North,15:45 h,16:33 h,0.8,Section 1,overwritten
2017-06-29 00:00:00,Fullerton,Kaluthara North,3:19 h,3:21 h,0.03,Section 1,overwritten
2017-07-01 00:00:00,Fullerton,Kaluthara North,12:35 h,12:57 h,0.37,Section 1,overwritten
2017-07-17 00:00:00,Fullerton,Kaluthara North,20:45 h,20:46 h,0.02,Section 1,overwritten
2017-07-21 00:00:00,Fullerton,Kaluthara North,13:45 h,13:49 h,0.07,Section 2,overwritten
2017-07-25 00:00:00,Fullerton,Kaluthara North,15:39 h,16:02 h,0.38,Section 1,overwritten
2017-08-03 00:00:00,Fullerton,Kaluthara North,9:20 h,9:21 h,0.02,Section 1,overwritten
2017-08-04 00:00:00,Fullerton,Kaluthara North,12:19 h,12:29 h,0.17,Section 1,overwritten
2017-08-06 00:00:00,Fullerton,Kaluthara North,7:56 h,8:13 h,0.28,Section 1,overwritten
2017-08-15 00:00:00,Fullerton,Kaluthara North,8:14 h,9:03 h,0.82,Section 1,overwritten
2017-08-17 00:00:00,Fullerton,Kaluthara North,19:50 h,19:58 h,0.13,Section 1,overwritten
2017-08-21 00:00:00,Fullerton,Kaluthara North,7:33 h,7:41 h,0.13,Section 1,overwritten
2017-08-21 00:00:00,Fullerton,Kaluthara North,13:26 h,14:30 h,1.07,Section 1,overwritten
2017-08-29 00:00:00,Fullerton,Kaluthara North,16:35 h,16:44 h,0.15,Section 1,overwritten
2017-08-31 00:00:00,Fullerton,Kaluthara North,12:22 h,13:01 h,0.65,Section 1,overwritten
2017-09-03 00:00:00,Fullerton,Kaluthara North,3:52 h,4:04 h,0.2,Section 1,overwritten
2017-09-11 00:00:00,Fullerton,Kaluthara North,1:38 h,1:53 h,0.25,Section 2,overwritten
2017-09-12 00:00:00,Fullerton,Kaluthara North,8:30 h,9:09 h,0.65,Section 1,overwritten
2017-09-13 00:00:00,Fullerton,Kaluthara North,8:07 h,8:09 h,0.03,Section 1,overwritten
2017-09-13 00:00:00,Fullerton,Kaluthara North,17:05 h,17:07 h,0.03,Section 1,overwritten
2017-09-19 00:00:00,Fullerton,Kaluthara North,9:45 h,10:52 h,1.12,Section 1,overwritten
2017-09-29 00:00:00,Fullerton,Kaluthara North,7:42 h,7:44 h,0.03,Section 1,overwritten
2017-09-29 00:00:00,Fullerton,Kaluthara North,16:48 h,16:51 h,0.05,Section 1,overwritten
2017-10-03 00:00:00,Fullerton,Kaluthara North,13:22 h,14:03 h,0.68,Section 1,overwritten
2017-10-23 00:00:00,Fullerton,Kaluthara North,17:50 h,17:59 h,0.15,Section 1,overwritten
2017-10-30 00:00:00,Fullerton,Kaluthara North,18:14 h,18:31 h,0.28,Section 2,overwritten
